Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
12-Sep,0,6,0,0,0,0,0,0
13-Sep,0,6,0,0,0,0,0,0
14-Sep,0,7,0,0,0,0,0,0
15-Sep,0,0,0,0,0,0,0,0
16-Sep,0,8,0,0,0,0,0,0
17-Sep,0,8,0,0,0,0,0,0
18-Sep,0,5,0,0,0,0,0,0
19-Sep,0,6,0,0,0,0,0,0
20-Sep,1,5,0,0,0,0,0,0
21-Sep,0,2,0,0,0,0,0,0
22-Sep,0,3,0,0,0,0,0,0
23-Sep,0,5,0,0,0,0,0,0
24-Sep,0,2,0,0,0,0,0,0
25-Sep,0,8,0,0,0,0,0,0
26-Sep,0,1,0,0,0,0,0,0
27-Sep,0,2,0,0,0,0,0,0
28-Sep,0,3,0,0,0,0,0,0
29-Sep,0,7,0,0,0,0,0,0
30-Sep,0,4,0,0,0,0,0,0
1-Oct,0,2,0,0,0,0,0,0
